challenge_kind,challenge_label,domain_accepted,domain_reason,nearest_training_distance,usable_prediction,deuteron_energy_mev,target_distance_cm,beam_fwhm_mm,radial_offset_mm,target_radius_mm,baseline_n2n_per_h_per_uA,raw_model_output_n2n_per_h_per_uA,log_prediction_std_n2n,baseline_ngamma_per_h_per_uA,raw_model_output_ngamma_per_h_per_uA,log_prediction_std_ngamma
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.1844051415867705,False,33.0,2.704849312295824,10.297517858928721,-1.0,2.6595931363468015,1.1575673356532636e-10,6.637537275202718e-11,0.02279390432505152,9.118107812551751e-13,6.045112574735108e-13,0.014293288649350547
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.395323554464003,False,40.0,2.795622629095565,11.625565862571166,-1.0,4.830395605722171,1.529747024935289e-10,7.955023611132855e-11,0.03847261957430863,1.133075293798114e-12,7.095781370389907e-13,0.02465611588564268
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.7634567340998877,False,40.0,2.598973015930744,14.113759413152392,-1.0,4.1526279317174914,1.7699996105578383e-10,7.507292386079119e-11,0.04176338060877978,1.311029076091982e-12,7.039752916601765e-13,0.026315621132803693
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.3711331282194203,False,40.0,2.2036948470014943,13.03337072047831,-1.0,3.4356943598678598,2.461919223067631e-10,9.690212559877649e-11,0.031096519932233196,1.8235301664355796e-12,9.231211384089651e-13,0.01931722746691116
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.599047415458943,False,33.0,1.5671408535259785,12.272365542853098,-1.0,2.3290131718467726,3.4483897829135094e-10,1.0541082557363247e-10,0.044494603422212814,2.7162817100884094e-12,1.1071391906802768e-12,0.029673900553760287
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.2085170916958343,False,33.0,2.372404059926513,8.17909556149193,-1.0,2.0011523541608196,1.5047179339554838e-10,9.15577815581358e-11,0.022741468214235103,1.1852598053437086e-12,8.239967817895805e-13,0.014187142802752777
explicit_out_of_range,outside_radial_offset_mm_high,False,outside:radial_offset_mm,1.2857357200726494,False,40.0,2.7671271379581697,4.034591321377284,9.0,3.2893269971185295,1.561415493414259e-10,4.960011616325591e-11,0.03514639257774473,1.1565319560050324e-12,5.234628646533915e-13,0.022829694919334845
explicit_out_of_range,outside_radial_offset_mm_high,False,outside:radial_offset_mm,1.169483315880142,False,40.0,2.7883014541182143,9.153880191081356,9.0,1.6490681668589773,1.5377908100222252e-10,4.815111787744585e-11,0.031471194512198264,1.1390332816235941e-12,5.019681124279418e-13,0.02028937694632586
explicit_out_of_range,outside_radial_offset_mm_high,False,outside:radial_offset_mm,1.8741815964399542,False,40.0,2.17598981654481,3.740912004846309,9.0,0.5536202952005675,2.525009372591375e-10,5.432682394345703e-11,0.03495516948287754,1.8702606967403584e-12,6.439919284138739e-13,0.021744685452199576
explicit_out_of_range,outside_radial_offset_mm_high,False,outside:radial_offset_mm,1.2559436700007363,False,40.0,1.8565859861605933,12.293516161121861,9.0,4.8396342719274354,3.468538949032185e-10,6.577911954473188e-11,0.041746139674168764,2.569127917664096e-12,7.30032852933027e-13,0.026277000838448306
explicit_out_of_range,outside_radial_offset_mm_high,False,outside:radial_offset_mm,0.8517427240432819,False,40.0,1.7780677273371104,2.826655906696934,9.0,2.612480359572618,3.781639388780784e-10,6.125349551046287e-11,0.02265003264755342,2.801039708943095e-12,7.706418409139971e-13,0.014178961007034514
explicit_out_of_range,outside_radial_offset_mm_high,False,outside:radial_offset_mm,1.2690354525498453,False,33.0,2.7878122685396027,9.892953822541344,9.0,4.009421994355949,1.0896960190392464e-10,3.3356233827009255e-11,0.039284897250952286,8.58348838851868e-13,3.6012928797844224e-13,0.024706050898902328
explicit_out_of_range,outside_radial_offset_mm_high,False,outside:radial_offset_mm,1.4056584126679454,False,33.0,1.7683001078277623,4.616652873393432,9.0,3.9974159407026564,2.7084477852317067e-10,4.728262747792878e-11,0.029880387331980476,2.1334326004001115e-12,5.905234849736035e-13,0.018658763703403348
